,district,urban_rural,household,iron_sheet,tiles,concrete,asbestos,grass,makuti,No_Tin,mud_dung,others,county,province
0,NYANDARUA NORTH,Urban,23229,21156,144,38,338,148,7,17,1,1380,Nyandarua,CENTRAL
1,NYANDARUA SOUTH,Urban,5345,5098,25,139,78,3,0,0,1,1,Nyandarua,CENTRAL
2,NYERI NORTH,Urban,14208,12827,161,740,367,69,11,29,2,2,Nyeri,CENTRAL
3,NYERI SOUTH,Urban,39927,36290,917,1325,1213,36,20,57,2,67,Nyeri,CENTRAL
4,KIRINYAGA,Urban,27461,25103,239,1090,960,11,3,9,4,42,Kirinyaga,CENTRAL
5,MURANGA NORTH,Urban,10660,8067,198,1916,409,1,0,54,1,14,Murang'a,CENTRAL
6,MURANGA SOUTH,Urban,30455,27614,459,1287,840,81,9,142,15,8,Murang'a,CENTRAL
7,KIAMBU EAST(KIAMBAA),Urban,62826,55285,2021,4146,1172,8,35,89,1,69,Kiambu,CENTRAL
8,KIKUYU,Urban,76759,67896,2826,4750,1112,9,42,70,5,49,Kiambu,CENTRAL
9,KIAMBU WEST,Urban,23023,20729,580,1212,346,2,17,125,1,11,Kiambu,CENTRAL
10,LARI,Urban,0,0,0,0,0,0,0,0,0,0,Kiambu,CENTRAL
11,GITHUNGURI,Urban,6048,4870,145,837,175,2,8,6,0,5,Kiambu,CENTRAL
12,THIKA EAST,Urban,902,895,1,3,3,0,0,0,0,0,Kiambu,CENTRAL
13,THIKA WEST,Urban,64745,54644,3305,5060,1541,26,68,33,13,55,Kiambu,CENTRAL
14,RUIRU,Urban,75089,56194,3191,13587,1680,94,126,120,63,34,Kiambu,CENTRAL
15,GATANGA,Urban,547,232,228,45,40,0,0,0,0,2,Murang'a,CENTRAL
16,GATUNDU,Urban,1967,1558,76,326,5,0,0,0,2,0,Kiambu,CENTRAL
17,NYANDARUA NORTH,Rural,52181,49919,311,14,1090,526,51,50,10,210,Nyandarua,CENTRAL
18,NYANDARUA SOUTH,Rural,61738,59316,386,61,1358,461,44,14,10,88,Nyandarua,CENTRAL
19,NYERI NORTH,Rural,81212,77965,750,124,1297,768,112,54,20,122,Nyeri,CENTRAL
20,NYERI SOUTH,Rural,66006,63412,548,186,1564,25,5,227,23,16,Nyeri,CENTRAL
21,KIRINYAGA,Rural,126520,121100,916,197,3051,945,38,88,45,140,Kirinyaga,CENTRAL
22,MURANGA NORTH,Rural,86922,83553,974,569,1188,61,37,489,30,21,Murang'a,CENTRAL
23,MURANGA SOUTH,Rural,84095,80743,825,429,1211,157,33,610,54,33,Murang'a,CENTRAL
24,KIAMBU EAST(KIAMBAA),Rural,12468,11572,377,67,242,62,25,122,0,1,Kiambu,CENTRAL
25,KIKUYU,Rural,251,127,54,0,68,0,0,0,0,2,Kiambu,CENTRAL
26,KIAMBU WEST,Rural,13455,12581,506,136,178,6,10,5,0,33,Kiambu,CENTRAL
27,LARI,Rural,30767,29680,487,233,295,34,9,10,3,16,Kiambu,CENTRAL
28,GITHUNGURI,Rural,33291,31634,645,184,629,7,152,33,2,5,Kiambu,CENTRAL
29,THIKA EAST,Rural,19176,17807,153,67,503,544,34,53,4,11,Kiambu,CENTRAL
30,THIKA WEST,Rural,7276,6746,182,16,277,35,4,9,4,3,Kiambu,CENTRAL
31,RUIRU,Rural,0,0,0,0,0,0,0,0,0,0,Kiambu,CENTRAL
32,GATANGA,Rural,29653,28514,321,126,444,32,7,192,10,7,Murang'a,CENTRAL
33,GATUNDU,Rural,53744,51750,707,360,390,16,10,135,21,355,Kiambu,CENTRAL
34,MOMBASA,Urban,138931,100038,7434,19270,4464,135,6458,689,240,203,Mombasa,COAST
35,KILINDINI,Urban,118323,101601,1677,5413,3874,126,4960,439,104,129,Mombasa,COAST
36,KWALE,Urban,4053,1649,19,21,108,26,2178,51,0,1,Kwale ,COAST
37,KINANGO,Urban,1607,1066,18,5,55,72,388,1,1,1,Kwale ,COAST
38,MSAMBWENI,Urban,23788,14282,306,170,722,188,8111,2,4,3,Kwale ,COAST
39,KILIFI,Urban,26663,18990,422,736,873,55,5515,38,6,28,Kilifi,COAST
40,KALOLENI,Urban,9375,8204,55,99,283,8,706,17,0,3,Kilifi,COAST
41,MALINDI,Urban,34468,21700,358,2344,1701,132,8105,58,28,42,Kilifi,COAST
42,TANA RIVER,Urban,7224,5279,16,2,317,1304,264,0,6,36,Tana River,COAST
43,TANA DELTA,Urban,639,537,0,5,3,59,31,4,0,0,Tana River,COAST
44,LAMU,Urban,4767,968,25,2095,145,32,1467,16,1,18,Lamu,COAST
45,TAITA,Urban,12662,11384,389,211,637,7,5,14,7,8,Taita Taveta,COAST
46,TAVETA,Urban,5375,4758,45,19,192,184,146,23,4,4,Taita Taveta,COAST
47,MOMBASA,Rural,0,0,0,0,0,0,0,0,0,0,Mombasa,COAST
48,KILINDINI,Rural,0,0,0,0,0,0,0,0,0,0,Mombasa,COAST
49,KWALE,Rural,24425,7600,120,14,275,713,15549,64,10,80,Kwale ,COAST
